Bairro;Taxa de Entrega
Vila Boa Vista;
Redenção;
Jardim Medeiros;
Vila Isabel;
Vila Nery;
Jardim Itamaraty;
Parque Primavera;
CDHU;
Prolongamento do Medeiros;
Jardim Bicão;
Centro;
Outro;
